Kategorie: Alle Kategorien

Woche,Influenza: (Schaffhausen),influenza: (Schaffhausen),Grippe: (Schaffhausen),Flu: (Schaffhausen)
2022-11-27,0,0,19,0
2022-12-04,56,0,0,0
2022-12-11,21,0,51,0
2022-12-18,52,0,75,0
2022-12-25,24,0,79,0
2023-01-01,0,0,21,0
2023-01-08,0,0,0,0
2023-01-15,0,26,35,0
2023-01-22,0,0,33,36
2023-01-29,0,0,0,0
2023-02-05,29,0,21,0
2023-02-12,35,38,0,0
2023-02-19,0,27,31,0
2023-02-26,0,21,33,0
2023-03-05,54,0,0,0
2023-03-12,0,0,0,0
2023-03-19,0,0,0,0
2023-03-26,58,0,34,24
2023-04-02,0,22,0,0
2023-04-09,0,0,0,24
2023-04-16,0,0,88,0
2023-04-23,56,0,0,56
2023-04-30,26,0,0,0
2023-05-07,0,0,0,0
2023-05-14,0,0,0,21
2023-05-21,0,0,0,0
2023-05-28,42,0,32,0
2023-06-04,44,25,0,20
2023-06-11,0,21,0,0
2023-06-18,0,37,0,29
2023-06-25,0,0,0,0
2023-07-02,0,0,30,0
2023-07-09,60,0,0,0
2023-07-16,50,0,0,0
2023-07-23,0,0,0,67
2023-07-30,0,0,0,0
2023-08-06,0,0,0,0
2023-08-13,0,0,0,48
2023-08-20,0,0,0,0
2023-08-27,24,0,0,51
2023-09-03,0,0,0,0
2023-09-10,65,26,0,0
2023-09-17,0,0,24,0
2023-09-24,28,0,27,0
2023-10-01,0,0,28,23
2023-10-08,0,0,0,0
2023-10-15,0,0,0,0
2023-10-22,30,0,0,0
2023-10-29,0,0,0,0
2023-11-05,0,0,100,0
2023-11-12,22,0,31,0
