Kanton,Bevölkerung 1. Januar,Geburten,Todesfälle,Überschuss,Wanderungssaldo international 1,Wanderungssaldo interkantonal,Bevölkerung 31. Dezember,total,%,Jahr,Canton Size (km²),Abbreviation,Total,Alter 0–19,Alter 20–64,Alter 65 und mehr,Mann,Frau,Schweizer,Ausländer ,Ledig,Verheiratet,Verwitwet,Geschieden,Unverheiratet,In eingetragener Partnerschaft,Aufgelöste Partnerschaft,Städtischer Kernraum,Einflussgebiet Stadt,Ausserhalb des Einflusses städtischer Kerne,BIP in Millionen CHF,BIP Growth Laufende Preise,BIP Growth Preise Vorjahr,BIP pro Kopf
Tessin,351946,2806,2988,-182,3230,-798,354375,2429,0.6901626954,2016,2812,TI,354375,65054,211291,78030,172877,181498,254828,99547,147721,155287,21432,29477,39,375,42,246930,79034,28411,29563.90365,-0.19939,0.31081,83425.47767195768
Waadt,773407,8730,5413,3317,8896,-910,784822,11415,1.4759369905,2016,3212,VD,784822,172689,483842,128291,385389,399433,520957,263865,361457,319592,34549,67313,59,1639,183,486030,216920,81872,57009.94537,6.41073,6.95957,72640.60560228943
Wallis,335696,3274,2612,662,2388,650,339176,3480,1.0366522091,2016,5224,VS,339176,67739,206913,64524,168072,171104,260444,78732,144112,149235,18259,27145,37,325,48,175361,80642,83173,18301.80897,0.58122,0.90067,53959.62264429087
Neuenburg,178107,1804,1571,233,1209,-892,178567,460,0.2582717131,2016,802,NE,178567,38110,107176,33281,87312,91255,132878,45689,78415,71940,9830,18152,13,191,26,104666,55652,18249,15173.90412,-1.87185,-1.28352,84975.9704760678
Genf,484736,5361,3220,2141,5200,-1669,489524,4788,0.987754159,2016,282,GE,489524,103456,305371,80697,237112,252412,292641,196883,228827,192187,20410,46530,70,1328,161,446042,43482,0,50364.83604,0.64461,0.90709,102885.32541816132
Jura,72782,684,707,-23,194,36,73122,340,0.4671484708,2016,838,JU,73122,15693,42677,14752,36158,36964,62471,10651,31418,31147,4544,5929,7,67,8,25033,13852,34237,4655.41274,-0.21324,0.28068,63666.37591969585
Schweiz,8419550,87381,66971,20410,45948,0,8484130,64580,0.7670243659,2017,41285,CH,8484130,1700494,5233271,1550365,4206434,4277696,6357738,2126392,3755372,3592368,406117,711025,588,16435,2001,5339043,1852223,1292864,684558.46748,0.98992,1.3628,80686.93755046187
Zürich,1487969,17070,11076,5994,10360,1567,1504346,16377,1.1006277685,2017,1729,ZH,1504346,296854,952121,255371,748276,756070,1102014,402332,693245,613343,62962,129082,90,4914,655,1158518,335631,10197,148710.70989,1.66095,2.44974,98854.06009654693
Bern,1026513,10141,9465,676,4102,362,1031126,4613,0.4493854437,2017,5959,BE,1031126,196464,622668,211994,505911,525215,864345,166781,447669,437969,55951,87498,57,1696,258,540715,228540,261871,78903.20877,0.72306,0.88863,76521.40356270717
Luzern,403397,4384,3077,1307,1676,-169,406506,3109,0.7707047896,2017,1493,LU,406506,82868,252896,70742,202534,203972,331512,74994,185365,174163,18682,27623,23,591,51,213163,45846,147497,27243.27993,1.67364,2.35084,67018.1496214078
Uri,36145,350,359,-9,189,-13,36299,154,0.4260616959,2017,1077,UR,36299,7359,21656,7284,18522,17777,31928,4371,15541,16869,1991,1855,7,31,5,22323,9795,4181,1932.22382,1.91182,3.04284,53230.772748560565
Schwyz,155863,1510,1067,443,729,221,157301,1438,0.9226051083,2017,908,SZ,157301,30745,99111,27445,80618,76683,124130,33171,68164,69693,6999,12216,5,207,14,95518,33446,28337,9514.90326,2.166,2.41246,60488.51094398637
Obwalden,37378,377,279,98,141,-44,37575,197,0.5270479961,2017,491,OW,37575,7622,23079,6874,19030,18545,32056,5519,16589,16719,1770,2462,1,33,1,10236,0,27339,2495.06168,0.76749,1.65243,66402.17378576181
Nidwalden,42556,418,334,84,195,125,42969,413,0.9704859479,2017,276,NW,42969,7868,26620,8481,22006,20963,36712,6257,18592,19055,1979,3293,4,41,3,16038,5715,21216,3026.83834,-1.21904,-0.82387,70442.37333891875
Glarus,40147,378,378,0,235,-52,40349,202,0.5031509204,2017,685,GL,40349,7761,24631,7957,20423,19926,30636,9713,16800,17940,2318,3243,2,40,6,30768,0,9581,2828.80873,4.04241,3.98023,70108.5214007782
Zug,123948,1257,795,462,844,91,125421,1473,1.1884015878,2017,239,ZG,125421,25369,79087,20965,63410,62011,90430,34991,54968,55876,4848,9471,13,225,18,115060,10361,0,19100.19345,-2.42551,-2.49419,152288.639462291
Freiburg,311914,3428,2061,1367,715,1205,315074,3160,1.0130997647,2017,1672,FR,315074,70790,195404,48880,157874,157200,244143,70931,143931,132264,13480,24910,30,408,43,103666,132449,78959,18627.22945,1.8475,1.98606,59120.173197407596
Solothurn,269441,2555,2444,111,1713,175,271432,1991,0.7389372813,2017,791,SO,271432,51786,167169,52477,135497,135935,210812,60620,113401,119540,14256,23766,13,398,44,163697,70005,37730,17888.23339,1.25845,1.66003,65903.18529134369
Basel-Stadt,193070,2069,2123,-54,2167,-1308,193908,838,0.4340394676,2017,37,BS,193908,33117,122052,38739,93723,100185,124147,69761,92283,71463,10613,18774,23,682,66,193908,0,0,36876.2111,4.74993,5.73085,190173.7478598098
Basel-Landschaft,285624,2694,2462,232,609,702,287023,1399,0.4898047783,2017,518,BL,287023,55109,169687,62227,140771,146252,222343,64680,115488,131317,15650,23879,10,624,53,195457,84629,6937,20728.94502,1.43482,0.88488,72220.50156259254
Schaffhausen,80769,747,739,8,480,161,81351,582,0.7205734874,2017,298,SH,81351,15302,48973,17076,40251,41100,60185,21166,33340,36151,4598,7111,2,138,11,46786,26260,8305,6913.34758,1.25955,3.16637,84981.71602070042
Appenzell A.Rh.,54954,564,506,58,87,51,55178,224,0.4076136405,2017,243,AR,55178,11150,33438,10590,27879,27299,46181,8997,23452,24134,2844,4661,2,78,7,15780,26482,12916,3112.6167,-1.11928,-0.63995,56410.46612780456
Appenzell I.Rh.,16003,186,121,65,67,-43,16105,102,0.6373804912,2017,172,AI,16105,3479,9613,3013,8290,7815,14271,1834,7319,7029,855,887,1,10,3,0,0,16105,1002.78446,-0.58491,-0.33024,62265.41198385594
St.Gallen,502552,5205,3886,1319,2562,-1885,504686,2134,0.4246326748,2017,2028,SG,504686,104151,309810,90725,252710,251976,383755,120931,218391,220999,24270,40353,25,583,46,349971,66182,88533,37438.98271,0.89927,1.43482,74182.72492203073
Graubünden,197550,1712,1746,-34,1055,-637,197888,338,0.1710959251,2017,7105,GR,197888,35900,120638,41350,99050,98838,160985,36903,83843,87490,10729,15615,12,177,17,64286,24278,109324,14131.66518,0.22094,0.56712,71412.44127991592
Aargau,663462,6914,4711,2203,3435,2175,670988,7526,1.1343528341,2017,1404,AG,670988,135945,418619,116424,337178,333810,503709,167279,285025,301472,30228,53141,31,955,123,366041,204615,100332,42758.50104,1.4877,1.36276,63724.68813153142
Thurgau,270709,2809,1986,823,1258,970,273801,3092,1.1421858896,2017,994,TG,273801,55725,170831,47245,137823,135978,206118,67683,115956,121914,12416,23119,10,348,35,126811,56985,90005,16540.74113,0.82061,1.31244,60411.543895018636
Tessin,354375,2774,3230,-456,511,-743,353709,-666,-0.187936508,2017,2812,TI,353709,64769,210041,78899,172505,181204,255122,98587,148100,153870,21396,29849,41,408,43,251864,76000,25845,29284.94673,-0.94357,-0.66622,82793.89761074782
Waadt,784822,8686,5749,2937,6218,-1108,793129,8307,1.0584565672,2017,3212,VD,793129,174446,488905,129778,389504,403625,527117,266012,368315,319792,34382,68554,57,1786,216,491022,219482,82625,55195.67504,-3.18238,-3.29394,69592.3047070527
Wallis,339176,3259,2759,500,1161,929,341463,2287,0.6742811991,2017,5224,VS,341463,67825,207639,65999,169162,172301,263082,78381,145510,149095,18326,28051,35,378,52,187341,81289,72833,18535.8271,1.27866,1.95278,54283.559565750904
Neuenburg,178567,1758,1612,146,406,-989,177964,-603,-0.337688375,2017,802,NE,177964,37939,106567,33458,87093,90871,132811,45153,78725,71046,9692,18242,14,212,32,103991,56005,17968,15552.72609,2.49654,3.51973,87392.54057000292
Genf,489524,5441,3342,2099,5910,-1727,495249,5725,1.169503436,2017,282,GE,495249,104604,309359,81286,240114,255135,296675,198574,233719,192268,20355,47242,71,1394,190,451065,44184,0,51443.49671,2.14169,1.9723,103874.00420798427
Jura,73122,695,664,31,186,-16,73290,168,0.2297530155,2017,838,JU,73290,15547,42657,15086,36280,37010,62519,10771,31641,30897,4527,6128,9,78,9,25018,14044,34228,4771.31017,2.48952,3.23982,65101.78973939146
Schweiz,8484130,87851,67088,20763,39860,0,8544527,60397,0.7118820669,2018,41285,CH,8544527,1709458,5257768,1577301,4237121,4307406,6396252,2148275,3797529,3597800,405348,723331,598,17392,2305,5380353,1861193,1302981,709521.5565,3.6466,2.86045,83038.13148463338
Zürich,1504346,16919,11062,5857,10761,1808,1520968,16622,1.1049319771,2018,1729,ZH,1520968,300178,962059,258731,757081,763887,1112574,408394,705128,616619,62676,130518,90,5125,753,1173534,337221,10213,156883.07738,5.49548,4.25714,103146.86264273805
Bern,1031126,10145,9451,694,3403,57,1034977,3851,0.3734752106,2018,5959,BE,1034977,197081,622412,215484,507791,527186,865906,169071,450924,437708,55506,88678,55,1787,296,543353,229573,262051,80775.78955,2.37326,1.53582,78045.97546612147
Luzern,406506,4413,3140,1273,1777,-190,409557,3051,0.7505424274,2018,1493,LU,409557,83363,254126,72068,204100,205457,333672,75885,187057,174800,18649,28311,24,651,58,214883,46250,148424,27792.86656,2.01733,0.79854,67860.802183823
Uri,36299,356,324,32,140,-58,36433,134,0.3691561751,2018,1077,UR,36433,7340,21651,7442,18609,17824,31936,4497,15568,16939,1996,1886,8,31,5,22499,9789,4145,1962.56,1.57001,2.04065,53867.64746246535
Schwyz,157301,1628,1152,476,787,535,159165,1864,1.1849892881,2018,908,SZ,159165,30986,99947,28232,81599,77566,124828,34337,68977,70322,7053,12543,5,238,23,96821,33747,28597,9720.14955,2.1571,1.62959,61069.64188106682
Obwalden,37575,384,258,126,137,14,37841,266,0.7079174983,2018,491,OW,37841,7639,23100,7102,19144,18697,32296,5545,16644,16880,1782,2494,2,37,2,10368,0,27473,2520.40292,1.01566,1.1629,66605.08231812056
Nidwalden,42969,432,301,131,131,-25,43223,254,0.5911238335,2018,276,NW,43223,7884,26552,8787,22122,21101,36872,6351,18622,19151,1999,3402,4,42,1,16097,5777,21349,3064.67828,1.25015,-0.02631,70903.8771024686
Glarus,40349,407,363,44,97,-66,40403,54,0.1338323131,2018,685,GL,40403,7726,24566,8111,20448,19955,30671,9732,16842,17889,2310,3316,2,41,3,30909,0,9494,2790.11952,-1.36769,-1.72128,69057.23634383586
Zug,125421,1343,814,529,802,48,126837,1416,1.1289975363,2018,239,ZG,126837,25729,79597,21511,64195,62642,90917,35920,55454,56502,4903,9693,12,248,22,116378,10459,0,19674.41877,3.00638,2.07381,155115.7688214007
Freiburg,315074,3546,2058,1488,600,1536,318714,3640,1.1552841555,2018,1672,FR,318714,71206,197382,50126,159579,159135,246355,72359,146131,132836,13533,25678,25,444,58,104670,133895,80149,19066.30713,2.35718,1.72512,59822.621943184175
Solothurn,271432,2659,2464,195,1134,334,273194,1762,0.649149695,2018,791,SO,273194,52055,167704,53435,136475,136719,211399,61795,114497,119734,14210,24262,11,412,61,164793,70080,38321,18369.42889,2.69001,2.15227,67239.50339319311
Basel-Stadt,193908,2075,2077,-2,2420,-1525,194766,858,0.4424778761,2018,37,BS,194766,33585,122466,38715,94311,100455,123867,70899,93443,71195,10436,18868,25,722,74,194766,0,0,38110.19693,3.34629,2.60548,195671.71338940063
Basel-Landschaft,287023,2623,2446,177,626,314,288132,1109,0.3863801856,2018,518,BL,288132,55328,169597,63207,141341,146791,222396,65736,116257,131140,15671,24333,9,661,59,196108,85166,6858,20819.445,0.43659,-0.54491,72256.62196493274
Schaffhausen,81351,772,774,-2,469,168,81991,640,0.7867143612,2018,298,SH,81991,15411,49233,17347,40560,41431,60626,21365,33668,36412,4568,7186,1,141,15,47099,26527,8365,7172.36945,3.74669,3.88541,87477.52131331488
Appenzell A.Rh.,55178,592,459,133,123,-199,55234,56,0.1014897242,2018,243,AR,55234,11128,33220,10886,27889,27345,46220,9014,23502,24128,2795,4720,1,81,7,15745,26569,12920,3201.04029,2.84081,2.60951,57954.16392077343
Appenzell I.Rh.,16105,169,137,32,61,-53,16145,40,0.2483700714,2018,172,AI,16145,3424,9630,3091,8300,7845,14321,1824,7354,6995,847,930,1,15,3,0,0,16145,1034.1429,3.12714,2.76971,64053.446887581296
St.Gallen,504686,5368,3880,1488,2384,-924,507697,3011,0.5966085843,2018,2028,SG,507697,104248,310799,92650,254304,253393,385295,122402,219865,221801,24302,41014,28,605,54,351835,66645,89217,38071.56852,1.68964,1.99526,74988.76006752059
Graubünden,197888,1794,1789,5,731,-217,198379,491,0.2481201488,2018,7105,GR,198379,35687,120386,42306,99374,99005,161397,36982,84164,87286,10743,15942,15,202,24,64561,24381,109437,14501.14771,2.61457,2.43522,73098.19945659571
Aargau,670988,6945,4780,2165,3435,1875,678207,7219,1.0758761707,2018,1404,AG,678207,137245,421254,119708,340776,337431,507783,170424,288490,303630,30375,54508,34,1025,128,370533,206174,101500,43687.13571,2.17181,1.40039,64415.6366861445
Thurgau,273801,2971,2067,904,1235,596,276472,2671,0.9755260207,2018,994,TG,276472,56175,171646,48651,139185,137287,207714,68758,117130,122858,12492,23572,12,366,40,127977,57457,91038,16991.91157,2.72763,2.16634,61459.79184148847
Tessin,353709,2556,3152,-596,884,-731,353343,-366,-0.10347489,2018,2812,TI,353343,64098,209350,79895,172192,181151,255116,98227,148532,152586,21400,30299,41,431,52,251554,76225,25564,30521.09186,4.22109,3.52512,86378.08548634047
Waadt,793129,8736,5750,2986,4327,-1437,799145,6016,0.7585146931,2018,3212,VD,799145,175670,492075,131400,392529,406616,533878,265267,374074,319150,34214,69485,60,1892,247,493915,222272,82958,58384.07719,5.77654,5.00867,73058.17741461187
Wallis,341463,3326,2724,602,907,1316,343955,2492,0.7298008862,2018,5224,VS,343955,68005,208500,67450,170431,173524,265879,78076,147060,149070,18370,28941,33,408,56,188756,82257,72942,19308.02935,4.166,3.66795,56135.33558168946
Neuenburg,177964,1656,1601,55,244,-1217,176850,-1114,-0.625969297,2018,802,NE,176850,37361,105812,33677,86621,90229,132143,44707,78853,69688,9652,18382,12,228,34,103062,52257,21531,16199.71183,4.15995,4.56945,91601.42397512015
Genf,495249,5353,3385,1968,4953,-1978,499480,4231,0.854317727,2018,282,GE,499480,105511,312012,81957,241848,257632,299540,199940,237453,191859,20326,48059,78,1475,219,455141,44339,0,53899.99455,4.77514,3.58081,107912.21780651878
Jura,73290,683,680,3,185,19,73419,129,0.1760130986,2018,838,JU,73419,15395,42692,15332,36317,37102,62651,10768,31840,30622,4540,6311,10,84,11,24996,14133,34290,4999.89508,4.79082,5.06185,68100.8332992822
Schweiz,8544527,86172,67780,18392,43352,0,8606033,61506,0.7198291959,2019,41285,CH,8606033,1717198,5283035,1605800,4268863,4337170,6430658,2175375,3843439,3599225,404591,737094,596,18231,2606,5422227,1874960,1308846,716878.58983,1.0369,1.14198,83299.53996574263
Zürich,1520968,16587,11305,5282,12760,1815,1539275,18307,1.2036413652,2019,1729,ZH,1539275,304095,972784,262396,766679,772596,1122495,416780,718884,619082,62535,132491,85,5304,839,1190339,338757,10179,155290.74181,-1.01498,-0.63796,100885.63889493431
Bern,1034977,9933,9667,266,3991,76,1039474,4497,0.4345024092,2019,5959,BE,1039474,197741,622788,218945,510170,529304,867188,172286,455044,436650,55218,90309,50,1869,313,546207,230693,262574,82365.69844,1.9683,1.62612,79237.86303457325
Luzern,409557,4357,3104,1253,1772,319,413120,3563,0.8699643761,2019,1493,LU,413120,83814,255571,73735,205976,207144,335508,77612,188877,175800,18629,29020,24,682,76,217191,46639,149290,28304.31765,1.84022,2.61069,68513.54969500388
Uri,36433,342,307,35,145,51,36703,270,0.7410863777,2019,1077,UR,36703,7357,21715,7631,18739,17964,32084,4619,15739,16983,1982,1955,6,33,5,22656,9859,4188,2000.81065,1.94902,1.52833,54513.54521428766
Schwyz,159165,1536,1107,429,556,303,160480,1315,0.8261866616,2019,908,SZ,160480,30944,100405,29131,82213,78267,125367,35113,69530,70689,7055,12907,6,257,32,97586,34089,28805,9954.6804,2.41283,2.14052,62030.66051844467
Obwalden,37841,347,279,68,95,-74,37930,89,0.2351946302,2019,491,OW,37930,7590,23018,7322,19158,18772,32361,5569,16648,16906,1803,2529,2,39,2,10458,0,27472,2630.1019,4.35244,3.34876,69340.94120748747
Nidwalden,43223,384,336,48,135,-334,43087,-136,-0.314647294,2019,276,NW,43087,7798,26281,9008,22053,21034,36719,6368,18562,18953,2021,3498,3,44,4,15992,5776,21319,3025.56778,-1.27617,-1.10296,70219.96843595516
Glarus,40403,413,416,-3,172,3,40590,187,0.4628369181,2019,685,GL,40590,7791,24537,8262,20546,20044,30765,9825,16950,17927,2295,3359,3,51,5,31137,0,9453,2891.24057,3.62426,3.10113,71230.36634639074
Zug,126837,1329,791,538,680,-427,127642,805,0.6346728478,2019,239,ZG,127642,25901,79665,22076,64594,63048,91475,36167,55820,56635,4980,9919,13,243,29,117143,10499,0,20308.51413,3.22294,2.34594,159105.26417636828
Freiburg,318714,3498,2099,1399,545,1147,321783,3069,0.9629322841,2019,1672,FR,321783,71380,198907,51496,161153,160630,248327,73456,148134,133187,13546,26342,21,479,62,105150,135458,81175,19459.65648,2.06306,1.9878,60474.47031073736
Solothurn,273194,2592,2311,281,1217,445,275247,2053,0.7514806328,2019,791,SO,275247,52352,168215,54680,137659,137588,212104,63143,115759,120186,14173,24580,15,443,69,166058,70477,38712,18620.63281,1.36751,1.21049,67650.62947098425
Basel-Stadt,194766,2060,2063,-3,3075,-1265,195844,1078,0.5534846945,2019,37,BS,195844,33969,123115,38760,94997,100847,124085,71759,94518,71139,10209,19115,24,752,82,195844,0,0,38316.71638,0.5419,2.88366,195649.1716876698
Basel-Landschaft,288132,2543,2481,62,831,467,289468,1336,0.4636763706,2019,518,BL,289468,55458,169810,64200,141890,147578,222615,66853,117224,131112,15749,24605,10,692,74,196919,85694,6855,20816.19197,-0.01562,-0.24267,71911.89343899844
Schaffhausen,81991,724,809,-85,314,151,82348,357,0.435413643,2019,298,SH,82348,15403,49301,17644,40768,41580,60891,21457,33798,36511,4567,7308,1,146,17,47071,26831,8446,7293.68099,1.69137,3.30408,88571.44059357847
Appenzell A.Rh.,55234,558,484,74,80,32,55445,211,0.3820110801,2019,243,AR,55445,11198,33195,11052,27938,27507,46319,9126,23639,24162,2774,4779,1,82,8,15763,26713,12969,3254.50915,1.67036,1.52575,58697.97366759852
Appenzell I.Rh.,16145,174,134,40,22,-96,16128,-17,-0.105295757,2019,172,AI,16128,3405,9566,3157,8303,7825,14312,1816,7285,7025,853,951,1,12,1,0,0,16128,1046.87968,1.23163,0.63018,64910.694444444445
St.Gallen,507697,5269,4047,1222,2877,-1468,510734,3037,0.598191441,2019,2028,SG,510734,104584,311506,94644,256039,254695,385916,124818,221464,222293,24356,41843,29,644,71,354003,67039,89692,38961.85693,2.33846,1.55903,76286.00588564693
Graubünden,198379,1630,1748,-118,965,-80,199021,642,0.3236229641,2019,7105,GR,199021,35381,120467,43173,99707,99314,161639,37382,84525,87117,10709,16403,15,221,27,64720,24666,109635,14937.00048,3.00564,2.53772,75052.383818793
Aargau,678207,7044,4997,2047,3461,2041,685845,7638,1.1262048313,2019,1404,AG,685845,138809,424024,123012,344733,341112,512350,173495,292903,305201,30525,55944,32,1077,147,374960,208262,102623,44509.24537,1.88181,1.24944,64896.94518440755
Thurgau,276472,2884,2085,799,1690,607,279547,3075,1.1122283631,2019,994,TG,279547,56613,172783,50151,140885,138662,209234,70313,118600,123946,12503,24044,12,391,48,129418,57984,92145,17358.08306,2.15498,1.94326,62093.61238002912
Tessin,353343,2494,3238,-744,60,-793,351491,-1852,-0.524136604,2019,2812,TI,351491,63125,207648,80718,171141,180350,254633,96858,148299,150508,21273,30848,41,463,56,250146,76025,25320,30990.05371,1.53652,1.27599,88167.41740186804
Waadt,799145,8607,5454,3153,3463,-978,805098,5953,0.7449211345,2019,3212,VD,805098,176324,495399,133375,395189,409909,539414,265684,379802,317927,34103,70898,63,1998,283,496862,224782,83454,58635.43105,0.43052,0.45258,72830.1785000087
Wallis,343955,3138,2898,240,670,1099,345525,1570,0.4564550595,2019,5224,VS,345525,67783,208907,68835,171254,174271,267503,78022,148368,148410,18435,29759,32,436,69,189532,83083,72910,19819.03323,2.64659,2.50735,57359.18741046234
Neuenburg,176850,1670,1585,85,761,-1092,176496,-354,-0.200169635,2019,802,NE,176496,36989,105527,33980,86495,90001,131913,44583,79300,68834,9493,18588,13,228,40,102675,52364,21457,16398.4668,1.2269,1.45723,92911.26597769921
Genf,499480,5350,3369,1981,5219,-1874,504128,4648,0.9305677905,2019,282,GE,504128,106077,315296,82755,244184,259944,302692,201436,241686,191654,20266,48630,84,1561,236,459600,44528,0,54591.22122,1.28242,1.82882,108288.41329979687
Jura,73419,709,666,43,189,-75,73584,165,0.2247374658,2019,838,JU,73584,15317,42605,15662,36400,37184,62749,10835,32081,30388,4539,6470,10,84,11,24797,14742,34045,5098.25717,1.96728,1.76597,69284.86043161557
Schweiz,8606033,85914,76195,9719,53804,0,8670300,64267,0.7467668321,2020,41285,CH,8670300,1726301,5314329,1629670,4302599,4367701,6459512,2210788,3903333,3588894,403471,751735,617,19022,2981,5459871,1892586,1317843,696619.95771,-2.82595,-2.14174,80345.54256600118
Zürich,1539275,16649,12078,4571,12887,-2091,1553423,14148,0.9191340079,2020,1729,ZH,1553423,307069,980693,265661,774299,779124,1129722,423701,732076,618478,62232,134045,81,5517,947,1200621,342561,10241,149208.52767,-3.91666,-2.22879,96051.44746150919
Bern,1039474,9943,10175,-232,3615,251,1043132,3658,0.3519087539,2020,5959,BE,1043132,198135,622565,222432,512300,530832,869681,173451,459553,434188,54891,92148,55,1922,355,548169,231971,262992,80589.16775,-2.15688,-1.94666,77256.92218242753
Luzern,413120,4311,3346,965,1843,159,416347,3227,0.7811289698,2020,1493,LU,416347,84267,256790,75290,207582,208765,337132,79215,191095,175836,18746,29842,25,693,98,218741,47404,150202,28039.73666,-0.93477,-0.70846,67347.03663050292
Uri,36703,328,327,1,224,-140,36819,116,0.3160504591,2020,1077,UR,36819,7315,21739,7765,18768,18051,32073,4746,15821,16962,1965,2025,6,35,5,22675,9870,4274,1981.76975,-0.95166,-2.07136,53824.648958418205
Schwyz,160480,1633,1361,272,595,789,162157,1677,1.0449900299,2020,908,SZ,162157,31099,101197,29861,83109,79048,126227,35930,70456,70988,7144,13244,10,276,36,98652,34560,28945,10021.33084,0.66954,0.59263,61800.174152210515
Obwalden,37930,378,344,34,123,11,38108,178,0.469285526,2020,491,OW,38108,7589,23034,7485,19268,18840,32475,5633,16708,16949,1808,2592,2,45,3,10514,0,27594,2579.31542,-1.93097,-3.28305,67684.35551590218
Nidwalden,43087,397,335,62,187,180,43520,433,1.0049434864,2020,276,NW,43520,7863,26388,9269,22298,21222,36996,6524,18745,19047,2048,3620,2,48,5,15978,5863,21679,2866.35726,-5.26217,-4.60955,65862.98851102941
Glarus,40590,382,431,-49,286,17,40851,261,0.6430155211,2020,685,GL,40851,7821,24610,8420,20625,20226,30753,10098,17182,17884,2283,3443,2,50,7,31371,0,9480,2773.97578,-4.05586,-4.23192,67904.72154904409
Zug,127642,1245,868,377,913,-165,128794,1152,0.9025242475,2020,239,ZG,128794,25990,80234,22570,65227,63567,91736,37058,56495,56900,4998,10097,13,257,31,118194,10600,0,20319.26064,0.05292,3.70551,157765.58411106106
Freiburg,321783,3381,2556,825,1156,1708,325496,3713,1.153883207,2020,1672,FR,325496,71566,201329,52601,162985,162511,250287,75209,151140,132998,13544,27196,26,515,64,105813,137812,81871,18886.4844,-2.94544,-2.86922,58023.706589328285
Solothurn,275247,2663,2646,17,1504,707,277462,2215,0.80473175,2020,791,SO,277462,52851,168974,55637,138626,138836,212535,64927,117216,120496,14082,25090,14,466,75,167217,71077,39168,18140.59636,-2.57798,-2.74633,65380.4714159056
Basel-Stadt,195844,1994,2138,-144,2625,-1716,196735,891,0.4549539429,2020,37,BS,196735,34218,123788,38729,95621,101114,124151,72584,96080,70666,9966,19112,21,791,95,196735,0,0,37705.55396,-1.59503,-0.78573,191656.5631941444
Basel-Landschaft,289468,2522,2765,-243,1179,693,290969,1501,0.5185374549,2020,518,BL,290969,55753,170100,65116,142767,148202,222404,68565,118581,130683,15809,25080,11,726,77,197713,86359,6897,20464.11973,-1.69134,-1.82221,70330.92779643192
Schaffhausen,82348,764,841,-77,472,359,83107,759,0.921698159,2020,298,SH,83107,15515,49632,17960,41162,41945,61267,21840,34219,36690,4538,7485,1,151,22,47419,27219,8469,7242.44875,-0.70242,-0.14117,87146.0737362677
Appenzell A.Rh.,55445,547,530,17,166,-306,55309,-136,-0.245288123,2020,243,AR,55309,11163,32940,11206,27883,27426,46135,9174,23560,24002,2765,4882,1,87,12,15649,26711,12949,3414.4593,4.91472,4.43907,61734.243974759986
Appenzell I.Rh.,16128,171,148,23,53,75,16293,165,1.0230654762,2020,172,AI,16293,3414,9621,3258,8361,7932,14420,1873,7396,7039,849,1001,1,5,2,0,0,16293,1042.92005,-0.37823,-0.57796,64010.31424538145
St.Gallen,510734,5345,4767,578,3400,-423,514504,3770,0.7381533244,2020,2028,SG,514504,105183,313333,95988,258108,256396,387398,127106,224463,222302,24223,42706,27,678,74,356434,67446,90624,38600.65937,-0.92705,-0.13918,75024.99372210907
Graubünden,199021,1637,1800,-163,1449,-148,200096,1075,0.5401440049,2020,7105,GR,200096,35161,120785,44150,100289,99807,161989,38107,85157,87156,10715,16788,13,234,30,65578,24325,110193,14627.09554,-2.07475,-2.97998,73100.38951303375
Aargau,685845,6980,5517,1463,3933,2769,694072,8227,1.1995421706,2020,1404,AG,694072,140443,427461,126168,348814,345258,517015,177057,298014,306795,30659,57257,33,1125,168,380756,209519,103797,44108.19224,-0.90106,-1.20579,63549.87989718646
Thurgau,279547,2882,2253,629,1868,957,282909,3362,1.2026600178,2020,994,TG,282909,57168,174019,51722,142527,140382,210840,72069,120365,124794,12618,24644,12,424,52,130904,58881,93124,17559.44806,1.16006,1.21518,62067.47774019207
Tessin,351491,2506,4067,-1561,1856,-669,350986,-505,-0.143673664,2020,2812,TI,350986,62537,207438,81011,170830,180156,254109,96877,149783,148017,21222,31365,41,482,74,249664,75773,25549,29018.15979,-6.36299,-5.77044,82676.11753745163
Waadt,805098,8455,6700,1755,7994,-699,814762,9664,1.2003507648,2020,3212,VD,814762,178201,502049,134512,400217,414545,544045,270717,390456,315488,33856,72495,74,2046,322,502562,227934,84266,56442.69189,-3.73961,-3.55993,69275.066694323
Wallis,345525,3310,3276,34,1962,1252,348503,2978,0.8618768541,2020,5224,VS,348503,67768,210723,70012,172955,175548,268980,79523,150781,147805,18447,30828,32,514,80,190528,84332,73643,19025.75615,-4.0026,-5.1642,54592.804509573805
Neuenburg,176496,1633,1804,-171,601,-955,175894,-602,-0.341084217,2020,802,NE,175894,36481,105285,34128,86184,89710,131671,44223,79901,67413,9456,18822,13,246,43,101854,52618,21422,15320.30848,-6.57475,-6.53812,87099.66502552673
Genf,504128,5159,4279,880,4717,-2649,506343,2215,0.4393725403,2020,282,GE,506343,106488,316942,82913,245320,261023,302731,203612,245681,189267,20153,49239,91,1606,291,461388,44955,0,52015.88663,-4.71749,-2.93987,102728.55876352591
Jura,73584,699,843,-144,236,34,73709,125,0.1698738856,2020,838,JU,73709,15243,42660,15806,36474,37235,62740,10969,32409,30051,4454,6689,10,83,13,24742,14796,34171,4625.73525,-9.2683,-9.55789,62756.72238125602
