Kanton,Bevölkerung 1. Januar,Geburten,Todesfälle,Überschuss,Wanderungssaldo international 1,Wanderungssaldo interkantonal,Bevölkerung 31. Dezember,total,%,Jahr,Canton Size (km²),Abbreviation,Total,Alter 0–19,Alter 20–64,Alter 65 und mehr,Mann,Frau,Schweizer,Ausländer ,Ledig,Verheiratet,Verwitwet,Geschieden,Unverheiratet,In eingetragener Partnerschaft,Aufgelöste Partnerschaft,Städtischer Kernraum,Einflussgebiet Stadt,Ausserhalb des Einflusses städtischer Kerne,BIP in Millionen CHF,BIP Growth Laufende Preise,BIP Growth Preise Vorjahr,BIP pro Kopf
Neuenburg,174554,1716,1580,136,2754,-772,176402,1848,1.0586981679,2013,802,NE,176402,38283,105878,32241,86014,90388,132428,43974,75537,73480,10073,17121,10,173,8,104015,54158,18229,14896.88845,1.88995,1.90198,84448.52354281697
Genf,463101,5167,3322,1845,9701,-2129,469433,6332,1.3673043245,2013,282,GE,469433,99796,292269,77368,226947,242486,279635,189798,214221,189710,20313,43956,59,1083,91,427652,41781,0,50196.61483,1.61907,1.66523,106930.3070512725
Jura,70942,680,599,81,688,14,71738,796,1.1220433594,2013,838,JU,71738,15921,42026,13791,35356,36382,61985,9753,30340,31403,4531,5392,5,61,6,24392,13611,33735,4607.58952,4.70849,4.44096,64228.01750815468
Schweiz,8139631,85287,63938,21349,76223,0,8237666,98035,1.2044157776,2014,41285,CH,8237666,1663752,5108349,1465565,4073880,4163786,6239207,1998459,3593986,3551926,407583,669047,549,13282,1132,5168376,1790738,1278552,665618.37447,1.68141,2.34988,80801.81625110802
Zürich,1425538,16884,10521,6363,14228,675,1446354,20816,1.4602206325,2014,1729,ZH,1446354,283522,919491,243341,717702,728652,1073065,373289,653715,601366,63180,123533,87,4065,376,1113403,323184,9767,144486.87809,1.95119,3.34443,99897.3128915881
Bern,1001281,9731,9111,620,7043,710,1009418,8137,0.8126589838,2014,5959,BE,1009418,193024,615175,201219,494008,515410,857915,151503,431220,437492,56698,82380,56,1408,143,527253,223515,258650,78705.81482,1.77707,1.9524,77971.47942675879
Luzern,390349,4153,2900,1253,2734,115,394604,4255,1.0900501859,2014,1493,LU,394604,82193,246105,66306,195965,198639,325336,69268,179461,170366,18560,25734,23,426,27,208796,43606,142202,26004.33257,2.04139,2.21284,65899.81999675624
Uri,35865,324,320,4,250,-108,36008,143,0.3987174125,2014,1077,UR,36008,7432,21672,6904,18399,17609,31864,4144,15352,16874,2034,1709,7,26,3,21744,9996,4268,1873.05108,0.50686,0.26233,52017.63719173517
Schwyz,151396,1545,1068,477,565,301,152759,1363,0.9002879865,2014,908,SZ,152759,30943,96701,25115,78152,74607,122299,30460,66306,68053,6899,11326,7,159,7,92786,32230,27743,9017.99038,1.40934,1.56231,59034.10195143985
Obwalden,36507,395,255,140,229,-51,36834,327,0.8957186293,2014,491,OW,36834,7697,22853,6284,18693,18141,31609,5225,16330,16465,1777,2236,0,24,1,10232,0,26602,2383.1599,0.38014,0.30816,64700.00271488299
Nidwalden,41888,377,300,77,269,-113,42080,192,0.4583651642,2014,276,NW,42080,7859,26407,7814,21481,20599,36363,5717,18201,18825,1935,3097,4,18,0,15669,5611,20800,2965.14912,2.83993,2.58336,70464.57034220532
Glarus,39593,378,372,6,336,-75,39794,201,0.5076654964,2014,685,GL,39794,7739,24572,7483,20136,19658,30798,8996,16483,17954,2346,2969,3,37,2,30033,0,9761,2719.52508,1.44005,1.72398,68340.07840377947
Zug,118118,1284,742,542,943,467,120089,1971,1.6686703127,2014,239,ZG,120089,24419,76225,19445,60633,59456,88446,31643,52446,53871,4724,8845,9,185,9,110085,10004,0,18298.46872,-3.30581,0.96589,152374.22844723496
Freiburg,297622,3369,2009,1360,2774,1571,303377,5755,1.9336608181,2014,1672,FR,303377,69985,188624,44768,151587,151790,238449,64928,136627,130250,13394,22706,29,331,32,99070,125468,78839,18139.40988,2.75607,3.20252,59791.644982974976
Solothurn,261437,2418,2333,85,1825,403,263719,2282,0.8728680332,2014,791,SO,263719,50998,163222,49499,131036,132683,208749,54970,108942,117721,14420,22280,17,317,20,158965,68210,36544,17571.80308,1.5931,1.8795,66630.78155157572
Basel-Stadt,189335,1996,2138,-142,2609,-1552,190580,1245,0.6575646341,2014,37,BS,190580,31708,120006,38866,91760,98820,124274,66306,88082,72227,11220,18400,26,564,55,190580,0,0,32096.51533,2.7596,4.23831,168414.91935145346
Basel-Landschaft,278656,2534,2366,168,1656,835,281301,2645,0.9491990124,2014,518,BL,281301,54274,168014,59013,137719,143582,221378,59923,111940,130680,15530,22590,8,516,30,191248,82977,7076,19948.28137,3.1915,3.70204,70914.36351097224
Schaffhausen,78783,725,772,-47,643,94,79417,634,0.8047421398,2014,298,SH,79417,15049,48304,16064,39111,40306,59542,19875,32161,35823,4629,6684,1,115,3,46258,25113,8046,6801.57409,-0.98221,0.1607,85643.80535653575
Appenzell A.Rh.,53691,537,478,59,244,103,54064,373,0.6947160604,2014,243,AR,54064,11061,32947,10056,27271,26793,45763,8301,22884,23857,2892,4364,2,63,2,15512,25925,12627,3099.52196,1.48864,2.07507,57330.607428233205
Appenzell I.Rh.,15778,166,131,35,50,18,15854,76,0.4816833566,2014,172,AI,15854,3560,9429,2865,8121,7733,14169,1685,7314,6888,832,811,1,6,2,0,0,15854,985.1826,4.22948,4.85681,62140.94865649047
St.Gallen,491699,5058,3805,1253,4094,-1050,495824,4125,0.8389278807,2014,2028,SG,495824,103606,306925,85293,247516,248308,380500,115324,213956,218680,24388,38323,19,427,27,345076,64295,86453,36885.12328,1.64289,1.55396,74391.5649101294
Graubünden,194959,1803,1704,99,1755,-719,195886,927,0.4754845891,2014,7105,GR,195886,36216,121197,38473,97752,98134,160497,35389,83175,87244,10767,14518,14,157,8,63964,23158,108764,14125.80718,0.69287,0.86576,72112.3877153038
Aargau,636362,6687,4510,2177,4985,1819,645277,8915,1.4009321738,2014,1404,AG,645277,131899,406026,107352,323221,322056,491344,153933,271914,293481,29812,49241,29,741,47,352263,196965,96049,41857.04587,1.5229,1.58466,64866.78724020847
Thurgau,260278,2664,1958,706,2212,608,263733,3455,1.3274268282,2014,994,TG,263733,54703,165714,43316,132602,131131,200849,62884,111665,117791,12339,21627,10,275,25,122659,54520,86554,16185.60854,1.50768,1.97114,61371.19184933247
Tessin,346539,2908,2924,-16,4227,-607,350363,3824,1.103483302,2014,2812,TI,350363,64890,209924,75549,170541,179822,253633,96730,144627,155370,21411,28566,34,316,37,244556,77714,28093,29652.67872,2.02779,2.33627,84634.16148394665
Waadt,749373,8387,5275,3112,8210,-1409,761446,12073,1.6110801964,2014,3212,VD,761446,168899,468935,123612,373187,388259,509124,252322,344572,316709,34765,63790,50,1408,126,473240,209112,79094,53909.83693,3.07897,3.1164,70799.29099371459
Wallis,327011,3198,2501,697,3639,614,331763,4752,1.453162126,2014,5224,VS,331763,67069,203445,61249,164399,167364,256485,75278,140038,148109,18051,25211,37,281,22,170951,78286,82526,17655.22555,0.79201,0.56499,53216.379011523284
Neuenburg,176402,1803,1626,177,1758,-889,177327,925,0.524370472,2014,802,NE,177327,38257,106437,32633,86540,90787,132575,44752,76527,73138,9985,17490,10,166,11,104447,54655,18225,15186.94772,1.94711,2.75042,85643.74133662668
Genf,469433,5282,3159,2123,9650,-1861,477385,7952,1.6939584563,2014,282,GE,477385,100889,297676,78820,230606,246779,281897,195488,219302,191276,20439,45003,61,1186,111,434887,42498,0,50311.47867,0.22883,0.82824,105389.73505661049
Jura,71738,681,660,21,553,123,72410,672,0.9367420335,2014,838,JU,72410,15861,42323,14226,35742,36668,62284,10126,30746,31416,4556,5614,5,65,6,24699,13696,34015,4751.96395,3.1334,3.86145,65625.79685126364
Schweiz,8237666,86559,67606,18953,71884,0,8327126,89460,1.0859872202,2015,41285,CH,8327126,1675503,5156571,1495052,4121471,4205655,6278459,2048667,3650651,3568702,407151,684114,563,14306,1446,5224160,1812583,1290383,668006.3817,0.35877,1.64463,80220.52046528418
Zürich,1446354,16866,11156,5710,14367,1590,1466424,20070,1.3876270954,2015,1729,ZH,1466424,287660,931178,247586,728517,737907,1083372,383052,666873,606119,63094,125457,82,4277,473,1129596,326788,10040,144642.66345,0.10782,2.42186,98636.31763391761
Bern,1009418,10072,9644,428,6824,856,1017483,8065,0.7989752511,2015,5959,BE,1017483,194111,618383,204989,498258,519225,860017,157466,437186,437850,56477,84190,55,1522,177,531765,225656,260062,78524.05539,-0.23094,0.17529,77174.808217926
Luzern,394604,4192,3137,1055,2717,174,398762,4158,1.0537146101,2015,1493,LU,398762,82391,248701,67670,198192,200570,327503,71259,181455,171654,18613,26480,28,490,34,210096,44133,144533,26331.17943,1.25689,1.9901,66032.3186010703
Uri,36008,322,367,-45,153,-121,35973,-35,-0.097200622,2015,1077,UR,35973,7385,21576,7012,18348,17625,31840,4133,15323,16844,2027,1742,7,27,3,21833,9901,4239,1884.67324,0.62049,-0.59608,52391.327940399744
Schwyz,152759,1607,1164,443,593,229,154093,1334,0.8732709693,2015,908,SZ,154093,30831,97333,25929,78825,75268,122921,31172,66828,68527,6917,11630,7,174,8,93739,32480,27874,9249.8374,2.57094,3.36459,60027.628769639115
Obwalden,36834,359,270,89,212,-65,37076,242,0.6570016832,2015,491,OW,37076,7655,22935,6486,18801,18275,31716,5360,16432,16538,1771,2309,1,24,1,10229,0,26847,2419.2417,1.51403,1.24485,65250.88197216528
Nidwalden,42080,426,304,122,209,13,42420,340,0.8079847909,2015,276,NW,42420,7903,26463,8054,21705,20715,36514,5906,18392,18874,1946,3171,4,31,1,15773,5645,21002,3177.9151,7.17556,8.27838,74915.49033474777
Glarus,39794,409,354,55,397,-124,40028,234,0.588028346,2015,685,GL,40028,7762,24638,7628,20309,19719,30721,9307,16607,17981,2337,3061,3,34,5,30367,0,9661,2736.19469,0.61296,0.91407,68357.0173378635
Zug,120089,1295,735,560,980,434,122134,2045,1.7029036798,2015,239,ZG,122134,24710,77432,19992,61708,60426,89157,32977,53320,54702,4771,9124,12,186,18,111957,10177,0,19243.19179,5.16285,7.32469,157558.0247105638
Freiburg,303377,3391,2049,1342,1747,936,307461,4084,1.3461798357,2015,1672,FR,307461,70214,191105,46142,153729,153732,240182,67279,138940,131243,13395,23452,33,349,40,100331,126895,80235,18257.69489,0.65209,2.2869,59382.14892295283
