Kanton,Jahr,BIP Growth Preise Vorjahr
Schwyz,2021,6.81654
Obwalden,2021,5.93511
Nidwalden,2021,10.06293
Glarus,2021,7.1289
Zug,2021,8.75732
Freiburg,2021,5.63772
Solothurn,2021,5.18123
Basel-Stadt,2021,6.67318
Basel-Landschaft,2021,2.18664
Schaffhausen,2021,12.92377
Appenzell A.Rh.,2021,3.68367
Appenzell I.Rh.,2021,9.20011
St.Gallen,2021,8.21854
Graubünden,2021,4.97386
Aargau,2021,0.24874
Thurgau,2021,7.99129
Tessin,2021,13.17713
Waadt,2021,10.03168
Wallis,2021,6.49503
Neuenburg,2021,15.21069
Genf,2021,7.37909
Jura,2021,14.65695
Schweiz,2021,5.39189
