Kanton,Jahr,BIP in Millionen CHF
Thurgau,2020,17559.44806
Tessin,2020,29018.15979
Waadt,2020,56442.69189
Wallis,2020,19025.75615
Neuenburg,2020,15320.30848
Genf,2020,52015.88663
Jura,2020,4625.73525
Schweiz,2020,696619.95771
Zürich,2021,152546.65496
Bern,2021,84877.88547
Luzern,2021,30128.2107
Uri,2021,2075.40995
Schwyz,2021,10807.12397
Obwalden,2021,2716.26691
Nidwalden,2021,3159.02335
Glarus,2021,2980.12862
Zug,2021,22570.24618
Freiburg,2021,20251.55568
Solothurn,2021,19401.618
Basel-Stadt,2021,40076.44716
Basel-Landschaft,2021,21596.13264
Schaffhausen,2021,8249.921
Appenzell A.Rh.,2021,3579.60946
Appenzell I.Rh.,2021,1154.73784
St.Gallen,2021,41979.43718
Graubünden,2021,15454.91878
Aargau,2021,44950.70226
Thurgau,2021,19274.42113
Tessin,2021,33181.44533
Waadt,2021,62916.58247
Wallis,2021,20134.43243
Neuenburg,2021,17602.75094
Genf,2021,56341.88573
Jura,2021,5322.68296
Schweiz,2021,743330.23111
