region,date,weighted_avg_daily_temp,weighted_avg_daily_hum,weighted_max_daily_temp,weighted_min_daily_temp,weighted_max_daily_hum,weighted_min_daily_hum
Region_1,2013-01-06,3.044122881873787,82.9183371785286,6.597668466783758,-1.0410567589246689,95.04384008257162,63.72190739296828
Region_1,2013-01-13,1.899120953367506,85.73210829155539,4.005557483172363,-0.2324000491294504,94.97229748568374,74.36570858139169
Region_1,2013-01-20,-1.508554402517953,77.0319931758553,0.8704620158216043,-4.233866613542208,90.87530730494088,63.74106645673052
Region_1,2013-01-27,-0.7591567757814682,77.82679076046124,2.4692037483849383,-4.891193843357106,90.98815822427686,60.46196316983763
Region_1,2013-02-03,4.551591823926272,78.80205716993781,7.993835717796594,0.627967854518274,92.95073345374776,58.11467310045944
Region_1,2013-02-10,0.30829434579036336,76.29866037620624,3.0566387542162015,-2.6223825587706475,92.60133422595842,53.64288504692114
Region_1,2013-02-17,-0.13649881304803185,81.40619616602736,2.382169760548823,-3.545197058728677,93.01589920960596,67.16266010814425
Region_1,2013-02-24,-1.1637027366338961,68.0382460420258,1.9935682047371497,-4.039435807272577,81.02105558329444,52.372204899084494
Region_1,2013-03-03,-0.24325328907718285,75.96496201044664,3.4036685610171533,-3.7792528252292996,89.25140630764506,59.647677890123404
Region_1,2013-03-10,5.0422712490019155,78.99731336469719,10.423291247753095,0.02127758070850244,93.56908433271434,58.07008894763482
Region_1,2013-03-17,3.041125832919156,64.02759377995541,7.0187315178461365,-0.6323124257940592,81.99762271098045,43.95486174565537
Region_1,2013-03-24,5.351498276695327,71.94564187695542,9.155250755754127,1.7657989722613021,90.8318711298836,50.51985758406156
Region_1,2013-03-31,3.7613917083302555,81.3512195791381,6.519214235281122,1.6993985530599212,91.30650281339295,67.18498681304254
Region_1,2013-04-07,5.961335122548016,67.50131782660277,10.14165765693234,2.485399587340063,84.75587351956932,48.88078947001263
Region_1,2013-04-14,9.715740042080244,70.90739901416313,15.208568171572484,5.2661248322611245,91.92144507370904,45.678235516246914
Region_1,2013-04-21,12.819824488011887,66.7628478201551,18.204495825025965,7.523940268835072,87.00937674900729,46.71464384693661
Region_1,2013-04-28,11.289348652816951,72.20632575981966,16.950531263644688,5.739318381481947,91.93927227115981,48.96218226248438
Region_1,2013-05-05,12.251197736202757,80.25778320966724,16.47395420943098,8.694189207394212,94.18601759374107,60.202152569815624
Region_1,2013-05-12,13.059099824044292,71.46664913132591,17.55234306079678,8.21030606869935,92.76646850969198,45.82505926754577
Region_1,2013-05-19,11.634963289001703,76.45520674967287,16.530575923870394,7.178710525756022,93.31025794562507,53.68603605159324
Region_1,2013-05-26,9.107096186452212,71.15746892299232,13.402184430767388,5.658830732804177,91.46789328662528,48.230292011455305
Region_1,2013-06-02,10.828236739908736,76.48247247389882,15.292320344144024,6.613346422321604,93.69947339084469,54.19750363839261
Region_1,2013-06-09,15.655202175236148,67.91661714457713,21.658881188841214,10.103428769044237,89.53998650083724,41.357134966239514
Region_1,2013-06-16,18.142787588546803,71.94136846104284,24.395545802348195,13.036893289598668,92.37416952816744,46.39804113470732
Region_1,2013-06-23,20.839455843305412,64.89982754373563,26.716553102463035,14.919236398427033,88.7920555986188,40.189087406735815
Region_1,2013-06-30,13.69544145944659,68.96661381667442,18.223041346275025,9.16880741918743,90.8230869991535,46.36104112349996
Region_1,2013-07-07,19.363845001615918,68.9554418071038,24.923752694057328,13.507425431535205,91.79433869998626,47.103613187460645
Region_1,2013-07-14,21.259493774534704,63.65779418831539,27.407527235624432,15.151443543559958,87.79130902767375,40.98699057643163
Region_1,2013-07-21,21.185962609011685,69.23246900876303,27.752098534281856,15.536618297335187,91.55626532007449,39.71521855629405
Region_1,2013-07-28,24.25732267825036,62.77345657933229,31.203820683910312,17.858395955466026,90.46158175330383,35.11199893049669
Region_1,2013-08-04,22.031205046152635,68.25529345812092,27.9500943134491,16.132519350439136,90.7156365683216,43.04335557348226
Region_1,2013-08-11,20.350001886955148,72.47371052918686,25.651769174837945,15.473210062937389,92.54865240525027,48.26076885302633
Region_1,2013-08-18,20.13147077518176,62.838312005403324,26.408944876436458,13.275609103403541,86.773739325266,39.292137206569905
Region_1,2013-08-25,18.701340675914196,65.7550969174472,23.97207201169775,13.317592505974785,86.35955422571597,44.059214184962315
Region_1,2013-09-01,16.899626428625176,70.69427943815855,22.67960652067657,11.50788587146336,92.12250773823152,43.817524049529254
Region_1,2013-09-08,19.00061226548292,68.43815448467484,25.680187451267955,13.129572566920007,89.63390256861483,40.96525164090764
Region_1,2013-09-15,14.33643923100974,74.459160206609,18.701874810017927,10.5261883986338,93.14843955670963,50.62938357406688
Region_1,2013-09-22,13.213208937625954,76.89574552225542,18.208466161633606,8.697324800789,93.34375272607839,52.43834087009904
Region_1,2013-09-29,16.072240808412758,81.59790703509485,21.746756621439975,11.195006956574645,94.91827290769267,59.409988122475056
Region_1,2013-10-06,15.469911894061536,84.64230532855548,18.796542892320275,12.607179715666737,95.19363350482136,66.46807386251484
Region_1,2013-10-13,10.633397596545203,80.56531074263009,13.787187666037758,8.047562751551135,92.5930952079802,63.13025694839784
Region_1,2013-10-20,12.276063573691776,84.7963562095577,16.10296219937088,8.568240006056554,95.78458767056645,65.09778075776916
Region_1,2013-10-27,13.30672529112287,86.39085716481446,17.05780981001678,9.867002712412255,96.74124913686097,69.40285801657457
Region_1,2013-11-03,10.973863269628966,76.04311116132827,15.269116559621036,6.911399908008078,92.86483031241345,54.932306181687935
