valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,type,value,pop,incValue,prct,inc14d,dataComplete
cases,2013-W02,iso_week,FR,canton,all,agegroup_ili_ari,all,all,2,297622,0.67,1.9,0.67,TRUE
cases,2013-W02,iso_week,GE,canton,all,agegroup_ili_ari,all,all,10,469433,2.13,9.4,4.26,TRUE
cases,2013-W02,iso_week,GL,canton,all,agegroup_ili_ari,all,all,2,39593,5.05,1.9,7.58,TRUE
cases,2013-W02,iso_week,GR,canton,all,agegroup_ili_ari,all,all,10,194959,5.13,9.4,6.16,TRUE
cases,2013-W02,iso_week,JU,canton,all,agegroup_ili_ari,all,all,0,71738,0,0,0,TRUE
cases,2013-W02,iso_week,LU,canton,all,agegroup_ili_ari,all,all,2,390349,0.51,1.9,0.77,TRUE
cases,2013-W02,iso_week,NE,canton,all,agegroup_ili_ari,all,all,2,176402,1.13,1.9,1.7,TRUE
cases,2013-W02,iso_week,NW,canton,all,agegroup_ili_ari,all,all,0,41888,0,0,0,TRUE
cases,2013-W02,iso_week,OW,canton,all,agegroup_ili_ari,all,all,0,36507,0,0,0,TRUE
cases,2013-W02,iso_week,SG,canton,all,agegroup_ili_ari,all,all,4,491699,0.81,3.8,1.22,TRUE
cases,2013-W02,iso_week,SH,canton,all,agegroup_ili_ari,all,all,3,78783,3.81,2.8,3.81,TRUE
cases,2013-W02,iso_week,SO,canton,all,agegroup_ili_ari,all,all,0,261437,0,0,1.15,TRUE
cases,2013-W02,iso_week,SZ,canton,all,agegroup_ili_ari,all,all,3,151396,1.98,2.8,1.98,TRUE
cases,2013-W02,iso_week,TG,canton,all,agegroup_ili_ari,all,all,2,260278,0.77,1.9,1.15,TRUE
cases,2013-W02,iso_week,TI,canton,all,agegroup_ili_ari,all,all,10,346539,2.89,9.4,4.91,TRUE
cases,2013-W02,iso_week,unknown,canton,all,agegroup_ili_ari,all,all,0,NA,NA,0,NA,TRUE
cases,2013-W02,iso_week,UR,canton,all,agegroup_ili_ari,all,all,0,35865,0,0,0,TRUE
cases,2013-W02,iso_week,VD,canton,all,agegroup_ili_ari,all,all,13,749373,1.73,12.3,2.27,TRUE
cases,2013-W02,iso_week,VS,canton,all,agegroup_ili_ari,all,all,7,327011,2.14,6.6,3.36,TRUE
cases,2013-W02,iso_week,ZG,canton,all,agegroup_ili_ari,all,all,1,118118,0.85,0.9,0.85,TRUE
cases,2013-W02,iso_week,ZH,canton,all,agegroup_ili_ari,all,all,9,1425538,0.63,8.5,1.26,TRUE
cases,2013-W03,iso_week,AG,canton,all,agegroup_ili_ari,all,all,13,636362,2.04,7.8,3.3,TRUE
cases,2013-W03,iso_week,AI,canton,all,agegroup_ili_ari,all,all,0,15778,0,0,0,TRUE
cases,2013-W03,iso_week,AR,canton,all,agegroup_ili_ari,all,all,0,53691,0,0,0,TRUE
cases,2013-W03,iso_week,BE,canton,all,agegroup_ili_ari,all,all,14,1001281,1.4,8.4,1.9,TRUE
cases,2013-W03,iso_week,BL,canton,all,agegroup_ili_ari,all,all,8,278656,2.87,4.8,5.74,TRUE
cases,2013-W03,iso_week,BS,canton,all,agegroup_ili_ari,all,all,11,189335,5.81,6.6,8.45,TRUE
cases,2013-W03,iso_week,CH,country,all,agegroup_ili_ari,all,all,167,8139631,2.05,100,3.35,TRUE
cases,2013-W03,iso_week,CHFL,CHFL,all,agegroup_ili_ari,all,all,167,8176573,2.04,100,3.34,TRUE
cases,2013-W03,iso_week,FL,country,all,agegroup_ili_ari,all,all,0,36942,0,0,0,TRUE
cases,2013-W03,iso_week,FR,canton,all,agegroup_ili_ari,all,all,3,297622,1.01,1.8,1.68,TRUE
cases,2013-W03,iso_week,GE,canton,all,agegroup_ili_ari,all,all,16,469433,3.41,9.6,5.54,TRUE
cases,2013-W03,iso_week,GL,canton,all,agegroup_ili_ari,all,all,4,39593,10.1,2.4,15.15,TRUE
cases,2013-W03,iso_week,GR,canton,all,agegroup_ili_ari,all,all,16,194959,8.21,9.6,13.34,TRUE
cases,2013-W03,iso_week,JU,canton,all,agegroup_ili_ari,all,all,1,71738,1.39,0.6,1.39,TRUE
cases,2013-W03,iso_week,LU,canton,all,agegroup_ili_ari,all,all,5,390349,1.28,3,1.79,TRUE
cases,2013-W03,iso_week,NE,canton,all,agegroup_ili_ari,all,all,5,176402,2.83,3,3.97,TRUE
cases,2013-W03,iso_week,NW,canton,all,agegroup_ili_ari,all,all,0,41888,0,0,0,TRUE
cases,2013-W03,iso_week,OW,canton,all,agegroup_ili_ari,all,all,0,36507,0,0,0,TRUE
cases,2013-W03,iso_week,SG,canton,all,agegroup_ili_ari,all,all,2,491699,0.41,1.2,1.22,TRUE
cases,2013-W03,iso_week,SH,canton,all,agegroup_ili_ari,all,all,2,78783,2.54,1.2,6.35,TRUE
cases,2013-W03,iso_week,SO,canton,all,agegroup_ili_ari,all,all,0,261437,0,0,0,TRUE
cases,2013-W03,iso_week,SZ,canton,all,agegroup_ili_ari,all,all,0,151396,0,0,1.98,TRUE
cases,2013-W03,iso_week,TG,canton,all,agegroup_ili_ari,all,all,2,260278,0.77,1.2,1.54,TRUE
cases,2013-W03,iso_week,TI,canton,all,agegroup_ili_ari,all,all,15,346539,4.33,9,7.21,TRUE
cases,2013-W03,iso_week,unknown,canton,all,agegroup_ili_ari,all,all,0,NA,NA,0,NA,TRUE
cases,2013-W03,iso_week,UR,canton,all,agegroup_ili_ari,all,all,0,35865,0,0,0,TRUE
cases,2013-W03,iso_week,VD,canton,all,agegroup_ili_ari,all,all,17,749373,2.27,10.2,4,TRUE
