,RMSE,lags,seasonal_lags,hidden_layers,alpha,batch_size,activation,learning_rate,exog_lags,grippe_lags,exogenous_lags,grippe_lag
0,0.8811224229568784,20,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,15.0
1,0.9275514940989011,20,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,15.0
2,0.9014238905422404,20,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,16.0
3,0.8748325956404278,20,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,16.0
4,0.8719069493885364,20,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,17.0
5,0.9113372938727723,20,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,17.0
6,0.797447665913808,20,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,18.0
7,0.8346501274041825,20,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,18.0
8,0.8318395453757635,20,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,19.0
9,0.8438132941204542,20,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,19.0
10,0.8368964844897228,20,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,20.0
11,0.92410110677678,20,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,20.0
12,0.9783302030426236,20,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,21.0
13,0.639090303544463,20,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,21.0
14,0.8742304698521043,20,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,22.0
15,0.9568535346901461,20,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,22.0
16,0.9727336857581937,20,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,23.0
17,0.7585683556820729,20,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,23.0
18,0.7761565586345648,20,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,24.0
19,0.8654012361275868,20,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,24.0
20,0.8684873247485582,20,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,25.0
21,0.8890158063354822,20,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,25.0
22,0.9528494631909797,20,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,26.0
23,0.7984517059126994,20,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,26.0
24,0.991398267971969,20,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,27.0
25,1.2710713194514651,20,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,27.0
26,0.8031876314251095,20,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,28.0
27,0.867644320210046,20,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,28.0
28,1.165311507608218,20,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,29.0
29,0.7802007203519462,20,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,29.0
30,0.9327763830609412,20,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,30.0
31,0.8953344688097982,20,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,30.0
32,0.9608129627085198,20,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,31.0
33,0.9230838547079202,20,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,31.0
34,1.0606917485376208,20,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,32.0
35,0.8765381666234912,20,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,32.0
36,0.8993783494461532,21,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,15.0
37,0.9873302211843291,21,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,15.0
38,0.8915360677936129,21,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,16.0
